
  J015452+011053 &  90004 &    28.72067 &     1.18153 &    0.37205 & 13.62 & 12.94 & 12.72 &   2956 & -0.00098 &  0.00166 &  0.01248 \\
  J015429+005327 &  90004 &    28.62207 &     0.89091 &    2.63902 & 15.51 & 14.84 & 14.65 &   2969 &  0.01922 & -0.00187 &  0.01532 \\
  J162709-243408 &  90009 &   246.78799 &   -24.56892 &    4.83045 & 12.63 & 10.25 &  8.91 &   1580 &  0.03721 & -0.00837 &  0.06224 \\
  J162722-241757 &  90009 &   246.84555 &   -24.29924 &   11.07096 & 13.31 & 10.69 &  9.39 &   1579 &  0.00352 & -0.00676 &  0.03822 \\
  J162712-243449 &  90009 &   246.80058 &   -24.58029 &    2.96770 & 15.72 & 13.13 & 11.53 &   1573 & -0.01958 &  0.00499 &  0.13805 \\
  J162731-243403 &  90009 &   246.87950 &   -24.56752 &    7.10956 & 13.42 & 11.32 & 10.33 &   1489 &  0.00160 &  0.00225 &  0.01450 \\
  J162730-244726 &  90009 &   246.87859 &   -24.79075 &    1.24486 & 12.18 & 10.39 &  9.47 &   1541 &  0.00130 & -0.01046 &  0.00895 \\
  J162732-250618 &  90009 &   246.88409 &   -25.10501 &    5.49339 & 10.50 &  9.59 &  9.26 &    837 &  0.00510 &  0.00031 &  0.01545 \\
  J055701+002859 &  90013 &    89.25748 &     0.48323 &    1.76140 & 15.44 & 14.96 & 14.80 &   3500 &  0.05262 &  0.00067 &  0.05007 \\
  J055701+002542 &  90013 &    89.25510 &     0.42848 &    0.28211 &  9.12 &  8.74 &  8.64 &   3509 &  0.00592 &  0.00021 &  0.04776 \\
  J085128+114927 &  90067 &   132.86740 &    11.82437 &    0.44144 & 11.80 & 11.55 & 11.48 &   3691 & -0.00024 & -0.00966 &  0.04081 \\
  J085126+115612 &  90067 &   132.86143 &    11.93679 &    0.27089 & 13.80 & 13.22 & 13.10 &   3692 & -0.00104 & -0.00977 &  0.04025 \\
  J085118+114554 &  90067 &   132.82509 &    11.76513 &   10.33827 & 11.63 & 11.37 & 11.30 &   3692 &  0.00402 & -0.00023 &  0.00492 \\
  J085120+115326 &  90067 &   132.83675 &    11.89067 &    0.53390 & 10.32 & 10.11 & 10.04 &   3692 &  0.00306 &  0.00814 &  0.00748 \\
  J085125+120256 &  90067 &   132.85553 &    12.04910 &    2.82194 & 11.65 & 11.09 & 10.94 &   3692 &  0.00017 & -0.00029 & -0.00167 \\
  J085127+121148 &  90067 &   132.86380 &    12.19690 &    1.23714 & 13.73 & 13.05 & 12.89 &   3045 &  0.00036 &  0.00779 &  0.00120 \\
  J085104+114557 &  90067 &   132.77023 &    11.76587 &    0.35967 & 12.41 & 12.13 & 12.05 &   3692 &  0.00033 & -0.00227 &  0.03300 \\
  J062941-594559 &  90121 &    97.42109 &   -59.76661 &    0.25396 & 15.44 & 14.90 & 14.72 &    562 &  0.00254 & -0.00188 &  0.08179 \\
  J070028+482903 &  90161 &   105.12016 &    48.48439 &    8.73045 & 15.09 & 14.80 & 14.74 &   1735 &  0.01736 & -0.00425 &  0.01837 \\
  J183911+492412 &  90182 &   279.79877 &    49.40360 &    2.30379 & 10.72 & 10.48 & 10.39 &   1648 & -0.00196 & -0.00897 &  0.02311 \\
  J183912+484539 &  90182 &   279.80219 &    48.76101 &    0.24732 & 14.90 & 14.35 & 14.22 &   1665 &  0.00330 &  0.00710 &  0.06576 \\
  J120203-493407 &  90217 &   180.51393 &   -49.56886 &    0.31187 & 14.63 & 14.23 & 14.15 &   1645 &  0.00429 &  0.00102 &  0.06873 \\
  J120143-495810 &  90217 &   180.43323 &   -49.96949 &    0.26630 & 15.44 & 14.83 & 14.68 &   1625 &  0.07956 & -0.02468 &  0.22997 \\
  J120154-500449 &  90217 &   180.47661 &   -50.08054 &    0.42650 & 14.75 & 14.29 & 14.19 &   1686 &  0.01237 & -0.00514 &  0.06157 \\
  J120156-500555 &  90217 &   180.48529 &   -50.09862 &    0.39287 & 15.65 & 14.97 & 14.81 &   1685 &  0.08488 &  0.00642 &  0.13704 \\
  J120148-500556 &  90217 &   180.45276 &   -50.09896 &    8.86194 & 16.07 & 15.60 & 15.33 &   1686 &  0.00748 &  0.00181 &  0.01856 \\
  J120204-501930 &  90217 &   180.51930 &   -50.32524 &    0.98914 & 15.62 & 15.09 & 14.96 &   1687 &  0.04565 & -0.01313 &  0.05934 \\
  J120148-502636 &  90217 &   180.45296 &   -50.44360 &   20.03178 & 12.96 & 12.44 & 12.32 &   1684 &  0.00483 &  0.02787 &  0.01200 \\
  J203134-491626 &  90234 &   307.89499 &   -49.27414 &    0.37927 & 11.31 & 11.05 & 10.99 &   2073 &  0.01320 &  0.00063 &  0.09909 \\
  J033147+374651 &  90247 &    52.94954 &    37.78098 &    0.24758 & 15.01 & 14.31 & 14.13 &   1954 &  0.04697 & -0.00304 &  0.19912 \\
  J033148+372337 &  90247 &    52.95244 &    37.39380 &   11.77838 & 10.29 & 10.09 &  9.97 &   1955 &  0.02439 & -0.00044 &  0.02056 \\
  J033221+370115 &  90247 &    53.08871 &    37.02101 &    0.97323 & 14.00 & 13.78 & 13.68 &   1961 &  0.06519 & -0.00502 &  0.10921 \\
  J033155+370312 &  90247 &    52.98239 &    37.05349 &    5.39081 & 14.97 & 14.29 & 14.14 &   1042 &  0.01886 & -0.00063 &  0.01986 \\
  J145701-443246 &  90273 &   224.25725 &   -44.54613 &    0.39646 & 15.53 & 14.89 & 14.72 &   1778 &  0.01599 & -0.01311 &  0.05365 \\
